Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Total.Loss,Total.Count,Total.Exposed_Value,Exposed_Population,Buildings.Loss,Buildings.Count,Buildings.Exposed_Value,Crops.Loss,Crops.Count,Crops.Exposed_Value,Infrastructure.Loss,Infrastructure.Count,Infrastructure.Exposed_Value,Infrastructure_Exposed_km,Infrastructure_Exposed_sqkm,CropType.Cassava.Loss,CropType.Cassava.Count,CropType.Cassava.Exposed_Value,CropType.Coconut.Loss,CropType.Coconut.Count,CropType.Coconut.Exposed_Value,CropType.Nut_Tree.Loss,CropType.Nut_Tree.Count,CropType.Nut_Tree.Exposed_Value,CropType.Palm_oil.Loss,CropType.Palm_oil.Count,CropType.Palm_oil.Exposed_Value,CropType.Papaya.Loss,CropType.Papaya.Count,CropType.Papaya.Exposed_Value,CropType.Rice.Loss,CropType.Rice.Count,CropType.Rice.Exposed_Value,CropType.Sugarcane.Loss,CropType.Sugarcane.Count,CropType.Sugarcane.Exposed_Value,CropType.Taro.Loss,CropType.Taro.Count,CropType.Taro.Exposed_Value,CropType.Unknown.Loss,CropType.Unknown.Count,CropType.Unknown.Exposed_Value,OccupancyType.Commercial.Loss,OccupancyType.Commercial.Count,OccupancyType.Commercial.Exposed_Value,OccupancyType.Commercial_Accommodation.Loss,OccupancyType.Commercial_Accommodation.Count,OccupancyType.Commercial_Accommodation.Exposed_Value,OccupancyType.Industrial.Loss,OccupancyType.Industrial.Count,OccupancyType.Industrial.Exposed_Value,OccupancyType.Infrastructure.Loss,OccupancyType.Infrastructure.Count,OccupancyType.Infrastructure.Exposed_Value,OccupancyType.Other.Loss,OccupancyType.Other.Count,OccupancyType.Other.Exposed_Value,OccupancyType.Outbuilding.Loss,OccupancyType.Outbuilding.Count,OccupancyType.Outbuilding.Exposed_Value,OccupancyType.Public.Loss,OccupancyType.Public.Count,OccupancyType.Public.Exposed_Value,OccupancyType.Residential.Loss,OccupancyType.Residential.Count,OccupancyType.Residential.Exposed_Value
ssp585 (medium confidence),5,2020,0.011,1,0.6321,662,166,19290,620,0,0,0,11,3,1207,651,1,17463,0.0922,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2020,0.011,5,0.1813,940278,362,16913571,1092,110207,28,6774702,42715,63,84621,787357,17,10053156,2.6412999999999998,0.045899999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2020,0.011,10,0.0952,1297160,389,23737036,1126,199819,39,11666501,52389,71,98610,1044952,19,11970799,3.5244,0.0522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2020,0.011,25,0.0392,3751991,442,56407146,1219,467175,61,17655702,64536,84,121674,3220279,23,38628552,4.6194,0.061700000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2020,0.011,50,0.0198,9133106,493,66311329,1290,968409,91,24878692,80734,91,135049,8083963,29,41296298,5.942900000000001,0.0686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2020,0.011,100,0.01,13360508,575,92757263,1393,2035355,134,48732708,101587,110,167098,11223567,34,43856064,8.053500000000001,0.07629999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2020,0.011,250,0.004,21441316,745,184116424,1619,5576241,245,116637176,149595,141,224164,15715476,38,67253465,12.0696,0.13999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2030,0.041,1,0.6321,2080,180,55846,649,0,0,0,25,4,1614,2055,1,53584,0.1053,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2030,0.041,5,0.1813,981333,375,18025590,1102,119590,33,7599237,44397,67,88663,817347,18,10336588,2.7447999999999997,0.0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2030,0.041,10,0.0952,1343422,401,24237008,1141,210829,42,11909120,53915,76,103433,1078678,19,12223314,3.5975,0.0531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2030,0.041,25,0.0392,4129281,451,56700876,1224,495364,64,17746266,66615,89,125773,3567300,24,38827612,4.734100000000001,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2030,0.041,50,0.0198,9410090,510,66677302,1304,1027575,97,25056551,82711,98,143137,8299802,30,41476310,6.0299,0.0691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2030,0.041,100,0.01,13639410,588,93772253,1410,2137673,139,49526473,104287,111,169900,11397449,36,44074470,8.2838,0.0771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2030,0.041,250,0.004,21900819,767,187144531,1636,5811972,260,118838287,152204,145,226431,15936643,38,68078177,12.2498,0.1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2040,0.082,1,0.6321,4017,181,105644,683,0,0,0,42,4,2082,3976,1,102879,0.1217,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2040,0.082,5,0.1813,1037042,375,19223845,1111,132411,33,8423772,46686,67,92883,857945,18,10706079,2.8864,0.0479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2040,0.082,10,0.0952,1406635,403,25421383,1159,225877,43,12743549,55985,76,108315,1124772,19,12568359,3.6959,0.0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2040,0.082,25,0.0392,4644886,452,57073179,1236,533890,64,17844141,69454,89,129934,4041544,24,39097869,4.890900000000001,0.0636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2040,0.082,50,0.0198,9788613,511,67129644,1329,1108436,97,25243730,85394,98,151225,8594783,30,41733359,6.1457999999999995,0.0699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2040,0.082,100,0.01,14020511,590,95300031,1429,2277509,140,50755448,107974,112,173768,11635027,36,44369385,8.5984,0.0779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2040,0.082,250,0.004,22528791,769,190879137,1652,6134137,262,121451105,155765,145,228697,16238891,38,69197684,12.491599999999998,0.1454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2050,0.135,1,0.6321,6636,197,129803,719,0,0,0,79,8,3889,6557,1,125194,0.1429,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2050,0.135,5,0.1813,1114268,386,21004751,1122,150333,36,9758353,49599,71,95902,914336,18,11149374,3.0652,0.0496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2050,0.135,10,0.0952,1491785,416,26548883,1175,248763,45,13516651,58634,81,112862,1184388,21,12918195,3.8221000000000003,0.055799999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2050,0.135,25,0.0392,5429222,468,58647513,1250,589328,72,18904874,73333,90,131961,4766560,26,39609428,5.0592999999999995,0.0645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2050,0.135,50,0.0198,10271700,533,68406900,1346,1217498,108,26181068,88976,102,155877,8965226,33,42068610,6.3734,0.0711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2050,0.135,100,0.01,14537989,616,101915813,1458,2475971,155,56729487,112706,117,179267,11949311,37,45005602,8.973099999999999,0.07980000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2050,0.135,250,0.004,23368314,800,195095356,1688,6569976,281,124058788,160708,152,232893,16637631,38,70801986,12.8322,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2060,0.196,1,0.6321,9734,199,139734,758,0,0,0,143,9,12169,9590,1,126807,0.1769,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2060,0.196,5,0.1813,1206235,390,23265187,1142,171760,38,11525295,52924,72,99492,981552,18,11639258,3.2684999999999995,0.0515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2060,0.196,10,0.0952,1591941,421,28634007,1194,277139,48,15240455,61663,81,117048,1253137,22,13275310,3.9668,0.056799999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2060,0.196,25,0.0392,6401693,471,61152353,1269,656470,73,20722961,77936,91,133911,5667287,26,40294212,5.2326999999999995,0.0655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2060,0.196,50,0.0198,10824028,536,74449869,1357,1345709,110,31829868,93164,102,157796,9385156,33,42460847,6.6814,0.07239999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2060,0.196,100,0.01,15148277,622,112969704,1499,2714865,158,66892259,118133,119,187168,12315277,37,45888780,9.385299999999999,0.0824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2060,0.196,250,0.004,24350991,804,200378072,1740,7083075,284,127393653,166601,153,241221,17101315,38,72741458,13.240899999999998,0.1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2070,0.258,1,0.6321,15397,215,243897,780,0,0,0,285,17,16563,15112,2,226556,0.1963,7.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2070,0.258,5,0.1813,1299810,402,23716668,1160,194415,39,11655136,56219,76,105937,1049175,19,11954435,3.4426,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2070,0.258,10,0.0952,1952555,437,43612409,1221,324805,53,16074616,65141,86,122131,1562609,23,27414441,4.1373999999999995,0.0582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2070,0.258,25,0.0392,7426983,493,63295211,1300,747101,85,22460698,82188,96,138423,6597694,27,40694791,5.5154,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2070,0.258,50,0.0198,11405862,561,79350429,1373,1490448,123,36313161,97285,108,162567,9818129,34,42873330,7.0424999999999995,0.0742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2070,0.258,100,0.01,15814954,653,117213298,1515,2994760,176,69705611,123359,128,194267,12696837,37,47311905,9.9133,0.0869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2070,0.258,250,0.004,25345734,834,206563562,1761,7662190,305,131718025,172020,156,243029,17511522,38,74600747,13.5911,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2080,0.326,1,0.6321,23081,226,451700,809,0,0,0,467,19,21080,22614,2,429812,0.2115,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2080,0.326,5,0.1813,1403443,416,24552380,1181,219754,44,12121911,59972,82,114386,1123716,19,12314902,3.6361999999999997,0.0539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2080,0.326,10,0.0952,2511217,449,54793907,1241,381205,58,16764060,69308,90,129068,2060704,24,37899538,4.345999999999999,0.0601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2080,0.326,25,0.0392,8420425,511,65353003,1329,857592,95,24095108,86795,98,142071,7476036,29,41114495,5.8039,0.0687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2080,0.326,50,0.0198,12071459,587,85682188,1394,1663296,138,42172539,102379,115,168412,10305784,34,43339843,7.476999999999999,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2080,0.326,100,0.01,16570559,682,124545865,1541,3320916,192,74991708,128954,135,201704,13120686,37,49350913,10.462,0.0929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2080,0.326,250,0.004,26441420,860,213047719,1790,8331065,319,136105674,177692,160,245179,17932663,38,76695076,13.990799999999998,0.1671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2090,0.419,1,0.6321,40427,232,1051445,843,0,0,0,1020,20,25843,39408,4,1024759,0.22399999999999998,0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2090,0.419,5,0.1813,1551109,429,26719547,1214,258442,47,13691520,65401,88,122303,1227264,21,12904510,3.9146,0.056400000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2090,0.419,10,0.0952,3594176,464,56339875,1255,465133,64,17413283,75740,95,132220,3053304,24,38793118,4.6743,0.0634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2090,0.419,25,0.0392,9435889,532,67385168,1359,1033166,105,25541689,93004,104,146738,8309717,30,41695382,6.159,0.0713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2090,0.419,50,0.0198,13029477,606,94372405,1443,1938888,147,50192654,110573,120,174530,10980014,34,44003778,8.1759,0.07830000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2090,0.419,100,0.01,17662172,707,138430705,1589,3813536,208,84386518,136596,141,210210,13712040,37,53832389,11.101399999999998,0.1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2090,0.419,250,0.004,27994675,887,224472234,1907,9337165,339,144135351,184783,162,249409,18472728,39,80085567,14.5541,0.1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2100,0.484,1,0.6321,59568,239,1557626,864,0,1,152032,2145,22,27655,57424,4,1377074,0.2412,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2100,0.484,5,0.1813,1664647,438,28793327,1231,293919,52,15246531,69120,89,128050,1301608,22,13417514,4.1165,0.058499999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2100,0.484,10,0.0952,4355828,467,57318978,1271,526059,66,17891534,80347,96,138566,3749420,24,39287608,4.9034,0.0651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2100,0.484,25,0.0392,10016098,542,69008296,1366,1165972,110,26784258,97249,108,159043,8752878,30,42063628,6.484999999999999,0.0734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2100,0.484,50,0.0198,13673173,614,97157487,1486,2159968,149,52514041,116152,122,183359,11397052,34,44458601,8.713899999999999,0.0806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2100,0.484,100,0.01,18457916,720,158535151,1609,4186097,216,99377451,142574,144,219969,14129245,37,58936122,11.4785,0.1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2100,0.484,250,0.004,29154971,897,228723879,1932,10112353,345,147039544,189333,165,253701,18853283,39,81428702,14.8703,0.17939999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2110,0.49,1,0.6321,61333,239,1601146,865,0,1,162891,2250,22,27793,59086,4,1409596,0.2427,0.005399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2110,0.49,5,0.1813,1675124,438,28971559,1233,297194,52,15377136,69463,89,128530,1308468,22,13464661,4.135199999999999,0.0587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2110,0.49,10,0.0952,4426134,467,57407426,1272,531682,66,17933777,80774,96,139124,3813678,24,39333253,4.924499999999999,0.0653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2110,0.49,25,0.0392,10069654,542,69143821,1367,1178231,110,26884718,97639,108,160126,8793786,30,42097611,6.515,0.0735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2110,0.49,50,0.0198,13732588,614,97389680,1489,2180375,149,52703502,116667,122,184114,11435547,34,44500576,8.763399999999999,0.08070000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2110,0.49,100,0.01,18531370,720,160177550,1610,4220488,216,100547895,143128,144,220810,14167755,37,59407235,11.513399999999999,0.12190000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2110,0.49,250,0.004,29262075,898,229099280,1934,10183909,345,147290120,189755,166,254542,18888413,39,81552684,14.899500000000002,0.1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2120,0.566,1,0.6321,85456,252,2002887,902,0,2,252698,4051,25,29156,81404,5,1720130,0.30870000000000003,0.0068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2120,0.566,5,0.1813,2246624,452,46331982,1249,358157,56,16449669,74452,93,133169,1814015,24,29747895,4.3496999999999995,0.0612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2120,0.566,10,0.0952,5572868,489,60525396,1291,612867,78,20283547,86012,99,141909,4873991,27,40098649,5.1849,0.0674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2120,0.566,25,0.0392,10763045,565,78005059,1386,1344910,122,35119756,102605,112,164129,9315531,33,42719789,6.9565,0.0756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2120,0.566,50,0.0198,14476440,642,109250808,1530,2469101,160,63554882,122285,130,194589,11885057,37,45499808,9.3074,0.0836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2120,0.566,100,0.01,19555848,752,172553203,1637,4713382,237,107400080,149926,149,226333,14692540,38,64925153,11.9278,0.1363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2120,0.566,250,0.004,30688460,933,236505631,1954,11156348,371,152834809,194527,172,264420,19337586,39,83404448,15.3715,0.1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2130,0.641,1,0.6321,112804,262,2470635,924,0,5,332006,6264,28,32317,106539,6,2105389,0.3453,0.009000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2130,0.641,5,0.1813,3009734,468,55974819,1262,424655,66,17355033,79603,97,137392,2505475,24,38481133,4.564299999999999,0.0637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2130,0.641,10,0.0952,6775302,511,63527641,1317,704942,92,22727359,90998,101,143764,5979361,27,40655201,5.520099999999999,0.06899999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2130,0.641,25,0.0392,11471110,587,85621734,1409,1522631,133,42156839,107601,118,169406,9840876,34,43294081,7.3584,0.0774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2130,0.641,50,0.0198,15245630,665,117314017,1558,2783403,175,70156639,127597,135,200862,12334629,37,46954957,9.8469,0.0877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2130,0.641,100,0.01,20632342,788,183887612,1681,5246955,261,115404164,156414,155,231386,15228971,38,68250382,12.3496,0.1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2130,0.641,250,0.004,32132474,968,242733701,2018,12173923,392,157765917,199069,175,271935,19759482,39,84693831,15.7936,0.1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2140,0.709,1,0.6321,140636,262,2942652,932,8,5,392973,8486,28,36028,132142,6,2512719,0.3777,0.0114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2140,0.709,5,0.1813,3823693,470,57436266,1274,488821,67,18213082,84325,98,141197,3250545,24,39080713,4.774500000000001,0.0658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2140,0.709,10,0.0952,7843983,512,65614039,1340,801894,93,24468304,95367,101,145057,6946722,27,40999338,5.8753,0.0703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2140,0.709,25,0.0392,12134260,589,91424579,1429,1699822,135,47481513,112229,118,175365,10322206,34,43766272,7.7197,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2140,0.709,50,0.0198,15981458,670,124508462,1584,3096006,177,75454103,132433,136,203626,12753018,37,48849149,10.343900000000001,0.0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2140,0.709,100,0.01,21662189,791,193326757,1727,5771610,263,123234690,162120,156,236175,15728461,38,69854165,12.754900000000001,0.15009999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2140,0.709,250,0.004,33477158,978,247759917,2096,13148621,401,162015921,203181,176,276443,20125357,39,85465457,16.1596,0.1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2150,0.771,1,0.6321,174307,287,4797277,938,66,13,1774997,10195,35,39885,164045,10,2981457,0.46099999999999997,0.0135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2150,0.771,5,0.1813,4706536,508,59933515,1295,555092,87,20189516,88348,104,143176,4063096,27,39599528,5.0375,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2150,0.771,10,0.0952,8544508,557,67083655,1363,923725,112,25538911,99270,116,153988,7521513,30,41389392,6.1143,0.0717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2150,0.771,25,0.0392,12768782,637,94255261,1467,1905500,153,49849572,116708,132,180948,10746574,36,44223274,8.239400000000002,0.0804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2150,0.771,50,0.0198,16719893,732,137099071,1603,3434485,218,84295029,137518,151,212152,13147889,37,52590287,10.8178,0.1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2150,0.771,100,0.01,22691910,856,199398270,1764,6320860,303,127043397,167254,172,244955,16203797,38,72108154,13.193699999999998,0.15639999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),5,2150,0.771,250,0.004,34820718,1123,259801686,2169,14132762,508,172920693,207364,188,281450,20480590,46,86597373,16.725499999999997,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp585 (medium confidence),17,2020,0.028,1,0.6321,1465,178,39923,634,0,0,0,19,4,1464,1446,1,37824,0.0973,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
